Unnamed: 0,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,_year,fallecidos_porcentaje
4860,2013-02-13,18:09,"Donetsk, Ukraine",South Airlines,8971,Odessa - Donetsk,Antonov AN-24RV,UR-WRA,37308709,45,41,4,5,5,0,0,"While attempting to land on runway 8 in dense fog, the plane overran the runway , overturned and caught fire. The airplane operated as a charter flight carrying football fans on their way to a match of Shakhtar Donetsk against Borussia Dortmund. Pilot error.  A loss of speed by the aircraft during the landing approach due to an error of the unprepared crew. The crew had no clearance to land given the weather conditions.",2013,11.11
4881,2013-12-26,21:39,"Irkutsk, Russia",IrAvia,?,Novosibirsk - Ikustsk,Antonov 12,12162,3341509,9,3,6,9,3,6,0,"The cargo plane, carrying spare parts, crashed into a military army arsenal at Ikustsk-2 Airport while attempting to land. The crew of 6 and 3 technicians were all killed.",2013,100.0
4885,2014-02-21,01:45,"Grombalia, Tunisia",Libyan Air Cargo,?,Tripoli - Tunis,Antonov 26,5A-DOW,11809,11,6,5,11,6,5,0,"The aircraft, carrying a medical team with three patients, was destroyed when it crashed in a field, 20 miles from Tunis-Carthage Airport. The pilot reported an engine on fire prior to the accident.",2014,100.0
4891,2014-05-17,08:00,"Xiang Khouang province, Laos",Laos Air Force,?,Vientiane - Xiangkhoung,Antonov 74TK-300,RDPL-34020,36547098982,17,11,6,16,10,6,0,"The military aircraft crashed in a wooded area while approaching Xiangkhoung's airport, killing 16 people. Among those killed were defense minister Douangchay Phichit and other high ranking officials. For unknown reason, crew was approaching at a too low an altitude.",2014,94.12
4899,2014-08-30,02:44,"Tamanraset, Algeria",Ukraine Air Alliance,?,Glascow -Tamanraset - Equitorial Guinea,Antonov An-12BK,UR-DWF,8345802,7,5,2,7,5,2,0,"The cargo plane crashed in the mountainous southeastern region of Algereia, 15 km south of the airport, shortly after taking off.",2014,100.0
4903,2014-12-28,03:00,"Near Uvira, Congo",Air Sirin,902,"Bujumbura, Burundi - Pointe Noire, Congo",Antonov An-26,4L-AFS,8606,6,0,6,6,0,6,0,The cargo plane impacted a mountainside while en route.,2014,100.0
4905,2015-01-18,00:00,"Near Abu adh Dhuhur Air Base, Syria",Syrian Air Force,?,Damascus - Abu Adh Dhuhur,Antonov An-26,?,?,37,35,2,37,35,2,0,"The army transport crashed while attempting to land in fog after hitting electric lines. The Al Nursa front, claimed that it shot down the aircraft.",2015,100.0
4920,2015-11-04,09:00,"Juba, South Sudan",Allied Services Limited,?,Juba - Paloich,Antonov 12BK,EY-406,1347704,43,38,5,41,37,4,0,"The cargo plane had just taken off from Juba Airport when it had difficulty gaining altitude and crashed into a hill about half a mile east of Runway 13. South Sudan Authorities reported the aircraft was unable to climb because it was overload, and the captain reported to ATC prior to departure he was carrying 12 passengers.",2015,95.35
4927,2016-03-09,09:05,"Cox's Bazar, Bangladesh",True Aviation Ltd.,?,Cox's Bazar - Jessore,Antonov AN-26,S2-AGZ,13408,4,0,4,3,0,3,0,"The cargo plane, carrying shrimp, crashed less than 5 minutes after taking off from Cox's Bazar Airport. The pilot declaired an emergency and tried to return to the airport but crashed into the shallow waters of the Bay of Bengal just offshore. Failure to initiate a rejected take off during take off roll following the indication of engine failure;Failure to adhere to the company SOP following the detection of the engine failure during take off;",2016,75.0
4935,2016-07-22,00:00,"Bay of Bengal, Indian Ocean",Indian Air Force,?,Chennai (Tambram AFB) - Port Blair,Antonov 32,K2743,0809,29,23,6,29,23,6,0,"The aircraft was taking part in fire fighting in the region of Bayanday, when under unknown circumstances, it impact trees and crashed in a wooded area.",2016,100.0
4955,2017-09-30,07:30,"Near Kinshasa, Congo",Air Force of the Democratic Republic of the Congo,?,"Kinshasa, - Bunia",Antonov An-12B,EX-001,5343606,12,6,6,12,6,6,0,The aircraft departed Kinshasa carrying ammunition and 2 vehicles. A few minutes after takeoff the crew reported a technical problem and received permission to make an emergency landing. Shortly after the plane lost control and crashed in flames about 20 km NE of Kinshasa.,2017,100.0
4957,2017-10-14,08:30,"Abidjan, Ivory Coast",Valan International Cargo Charter,?,Burkina Faso - Abidjan,Antonov AN-26-100,ER-AVB,3204,10,4,6,4,4,0,0,"The cargo plane, carrying French military cargo, crashed in shallow waters along the coastline while on final approach to Abidjan-Felix Houphouet Boigny Airport. The plane was carrying 6 Moldovan crew members and 4 French army personnel. Weather reports indicate that a thunderstorm was passing the airport at the time of the accident. The probable cause of this accident is the continuation of the approach below minimums without having established formal visual contact with runway references and without adequate monitoring of the aircraft's glide path.",2017,40.0
4963,2018-02-11,14:31,"Argunovo, Russia",Saratov Airlines,703,Moscow - Orsk,Antonov AN-148-100,RA-61704,27015040004,71,65,6,71,65,6,0,"The regional airliner took off from Moscow at 1422. Six minutes later, after reaching an altitude of 6,000 feet, contact was lost with the aircraft. The plane then lost altitude at an accelerated rate until it impacted the ground and disintegrated. Wreckage was scattered over a wide area of over 1 km. Authorities confirmed the aircraft was intact until the time of impact. There were discrepancies between the air speed readings on the captain's side compared to the standby airspeed indicator. The probable cause was due to erroneous actions of the crew at the stage of climbing in instrument weather conditions from unreliable readings of instrument speed caused by icing  of all three pitot tubes, which led to the loss of control of the aircraft,",2018,100.0
4990,2019-10-04,07:29,"Lviv, Ukraine",Ukraine Air Alliance,4050,Vigo - Lviv - Istanbul,Antonov An-12BK,UR-CAH,8345604,8,1,7,5,1,4,0,"The chartered cargo plane, planning to stop for refueling at Lviv, and continue on to Istanbul, ran out of fuel and crashed less than a mile from the runway into brush.",2019,62.5
4993,2020-01-02,00:00,"Geneina, Sudan",Sudanese Air Force,?,Geneina - Khartoum,Antonov An12-A,?,2340606,18,9,9,18,9,9,?,"The aircraft crashed shortly after taking off from the airport, killing alll 18 occupants, including three children. The aircraft was returning to Khartoum after delivering medical aid.",2020,100.0
4999,2020-08-22,08:40,"Juba, South Sudan",South West Aviaiton,?,Juba - Wau,Antonov 26B,EX-126,11508,8,5,3,7,4,3,0,The cargo plane lost height shortly after departure from Juba Airport and impacted a farm near Hai Referendum about 3nm southwest of the airport. One passenger survived in critical condition. The plane was chartered by the World Food Program to transport supplies and wages to Wau and Aweil.,2020,87.5
5007,2021-07-06,15:00,"Palana, Russia",Kamchatka Aviation Enterprise,251,Petropavlovsk - Palana,Antonov An 26B-100,RA-26085,12310,28,22,6,28,22,6,0,The passenger plane crashed into the top of a cliff while attempting to land in inclement weather. The debris fell into the sea. Contact was lost with the plane 10 minutes before it was to land.,2021,100.0
